author_id,paper_id,year_citation
26,361862,1993
26,361862,1994
26,361903,1984
26,361909,1995
26,361909,1997
26,365026,1984
26,366118,1984
26,366320,1995
26,368489,1984
26,369222,1991
26,369222,1992
26,369248,1984
26,369248,1993
26,369248,1996
26,369276,1984
26,369276,1989
26,369276,1993
26,369276,1996
26,370396,2001
26,370396,2003
26,370504,1987
26,370504,1989
26,370804,1984
26,371553,1992
26,371553,1995
26,371553,2001
26,371554,2001
26,371562,1992
26,371562,1995
26,371562,2001
26,372241,1984
26,373711,2005
26,373939,1991
26,373939,1992
26,373939,1993
26,373939,1995
26,373939,1997
26,373943,1997
26,377275,1984
26,378315,1984
26,378354,1984
26,380922,1984
26,381889,1978
26,384526,2001
26,384526,2003
26,386831,1995
26,386831,2001
26,386856,1995
26,386856,2001
26,389590,1982
26,389590,1989
26,389783,1984
26,391946,1982
26,391946,1984
26,393784,2001
26,395868,1984
26,397457,1996
26,397457,1998
26,398181,2001
26,398181,2003
26,398270,1984
26,401546,1992
26,401546,1995
26,403852,1995
26,405127,1993
26,405395,1984
26,405420,1977
26,405800,1984
26,407336,1984
26,409642,1984
26,409726,1996
26,409726,1997
26,409985,2000
26,410833,2004
26,411949,1984
26,411950,1984
26,412992,2000
26,414885,1984
26,414948,1995
26,416790,1987
26,416790,1989
26,417969,1984
26,418599,1992
26,418599,1995
26,420813,1984
26,421542,1984
26,422394,1993
26,422636,1981
26,422748,1996
26,424786,1998
26,425571,1984
26,425572,1984
26,425662,1997
26,425662,1998
26,428121,1982
26,428121,1984
26,428127,1984
26,430175,1984
26,432954,1996
26,432954,1998
26,432954,2000
26,433941,1984
26,435331,1984
26,439209,1984
26,439212,1984
26,439448,2001
26,442483,1984
26,442955,1984
26,443394,1984
26,443394,1985
26,443394,1996
26,443760,1987
26,443760,1989
26,445466,2001
26,445644,1984
26,445644,1985
26,445737,1984
26,446306,1989
26,446306,1990
26,446306,1993
26,449860,1984
26,450807,1989
26,450807,1990
26,450807,1993
26,453417,1984
